"filename", "language", "JSON", "PostCSS", "Markdown", "JavaScript", "TypeScript", "XML", "JSON with Comments", "Ignore", "comment", "blank", "total"
"c:\Users\lry72\code\workspace_vscode_extension\src\gui\demos\text-field.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\lry72\code\workspace_vscode_extension\src\test\extension.test.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 4, 16
"c:\Users\lry72\code\workspace_vscode_extension\src\utils.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 9, 3, 27
"c:\Users\lry72\code\workspace_vscode_extension\src\vscodeUtils.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 11, 2, 23
"c:\Users\lry72\code\workspace_vscode_extension\src\webview\codicon.css", "PostCSS", 0, 1573, 0, 0, 0, 0, 0, 0, 19, 12, 1604
"c:\Users\lry72\code\workspace_vscode_extension\src\webview\main.ts", "TypeScript", 0, 0, 0, 0, 223, 0, 0, 0, 11, 48, 282
"c:\Users\lry72\code\workspace_vscode_extension\src\webview\style.css", "PostCSS", 0, 68, 0, 0, 0, 0, 0, 0, 14, 19, 101
"c:\Users\lry72\code\workspace_vscode_extension\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 15, 0, 4, 1, 20
"c:\Users\lry72\code\workspace_vscode_extension\vsc-extension-quickstart.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 13, 45
"Total", "-", 6324, 1641, 75, 152, 1480, 1, 31, 11, 124, 341, 10180
